rank	kingdom	phylum	class	order	family	genus	species	verbatim_name	acceptedName
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Apatura	Apatura metis	Apatura metis	Apatura metis
SPECIES	Animalia	Arthropoda	Malacostraca	Decapoda	Astacidae	Astacus	Astacus astacus	Astacus astacus	Astacus astacus
SPECIES	Animalia	Arthropoda	Malacostraca	Decapoda	Astacidae	Austropotamobius	Austropotamobius torrentium	Austropotamobius torrentium	Austropotamobius torrentium
SPECIES	Animalia	Arthropoda	Malacostraca	Decapoda	Astacidae	Austropotamobius	Austropotamobius torrentium	Austropotamobious torrentium	Austropotamobius torrentium
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Geotrupidae	Bolbelasmus	Bolbelasmus unicornis	Bolbelasmus unicornis	Bolbelasmus unicornis
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Buprestis	Buprestis splendens	Buprestis splendens	Buprestis splendens
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Euplagia	Euplagia quadripunctaria	Callimorpha (Euplagia, Panaxia) quadripunctaria	Euplagia quadripunctaria
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Euplagia	Euplagia quadripunctaria	Panaxia quadripunctaria	Euplagia quadripunctaria
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Euplagia	Euplagia quadripunctaria	Callimorpha quadripunctaria	Euplagia quadripunctaria
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Cossidae	Paracossulus	Paracossulus thrips	Catopta thrips	Catopta thrips
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Cossidae	Paracossulus	Paracossulus thrips	Paracossulus thrips	Catopta thrips
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Cerambyx	Cerambyx cerdo	Cerambyx cerdo	Cerambyx cerdo
SPECIES	Animalia	Arthropoda	Insecta	Odonata	Coenagrionidae	Coenagrion	Coenagrion ornatum	Coenagrion ornatum	Coenagrion ornatum
SPECIES	Animalia	Arthropoda	Insecta	Odonata	Cordulegastridae	Cordulegaster	Cordulegaster heros	Cordulegaster heros	Cordulegaster heros
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Dioszeghyana	Dioszeghyana schmidtii	Dioszeghyana schmidtii	Dioszeghyana schmidtii
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Eriogaster	Eriogaster catax	Eriogaster catax	Eriogaster catax
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Euphydryas	Euphydryas aurinia	Euphydryas (Eurodryas, Hypodryas) aurinia	Euphydryas aurinia
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Euphydryas	Euphydryas aurinia	Euphydryas aurinia	Euphydryas aurinia
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Euplagia	Euplagia quadripunctaria	Euplagia quadripunctaria	Euplagia quadripunctaria
SPECIES	Animalia	Annelida	Clitellata	Arhynchobdellida	Hirudinidae	Hirudo	Hirudo medicinalis	Hirudo medicinalis	Hirudo verbana
SPECIES	Animalia	Annelida	Clitellata	Arhynchobdellida	Hirudinidae	Hirudo	Hirudo verbana	Hirudo verbana	Hirudo verbana
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Hyles	Hyles hippophaes	Hyles hippophaes	Hyles hippophaes
SPECIES	Animalia	Arthropoda	Insecta	Odonata	Gomphidae	Lindenia	Lindenia tetraphylla	Lindenia tetraphylla	Lindenia tetraphylla
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Lucanidae	Lucanus	Lucanus cervus	Lucanus cervus	Lucanus cervus
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Lycaena	Lycaena dispar	Lycaena dispar	Lycaena dispar
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Maculinea	Maculinea arion	Maculinea arion	Maculinea arion
SUBSPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Morimus	Morimus asper funereus	Morimus asper funereus	Morimus asper funereus
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Morimus	Morimus asper funereus	Morimus asper	Morimus asper funereus
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Morimus	Morimus asper funereus	Morimus funereus	Morimus asper funereus
SPECIES	Animalia	Arthropoda	Insecta	Odonata	Gomphidae	Ophiogomphus	Ophiogomphus cecilia	Ophiogomphus cecilia	Ophiogomphus cecilia
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Osmoderma	Osmoderma barnabita	Osmoderma barnabita	Osmoderma barnabita
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Osmoderma	Osmoderma lassallei	Osmoderma lassallei	Osmoderma lassallei
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Osmoderma	Osmoderma eremita	Osmoderma eremita	Osmoderma lassallei
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Osmoderma	Osmoderma eremita	Osmoderma eremita Complex	Osmoderma lassallei
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio alexanor	Papilio alexanor	Papilio alexanor
SPECIES	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Paracaloptenus	Paracaloptenus caloptenoides	Paracaloptenus caloptenoides	Paracaloptenus caloptenoides
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Parnassius	Parnassius apollo	Parnassius apollo	Parnassius apollo
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Parnassius	Parnassius mnemosyne	Parnassius mnemosyne	Parnassius mnemosyne
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatus	Polyommatus eros	Polyommatus eroides	Polyommatus eroides
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatus	Polyommatus eros	Polyommatus eros	Polyommatus eroides
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Euboeus	Probaticus subrugosus	Probaticus subrugosus	Probaticus subrugosus
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Proserpinus	Proserpinus proserpina	Proserpinus proserpina	Proserpinus proserpina
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Pseudophilotes	Pseudophilotes bavius	Pseudophilotes bavius	Pseudophilotes bavius
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Rhysodes	Rhysodes sulcatus	Rhysodes sulcatus	Rhysodes sulcatus
SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rosalia	Rosalia alpina	Rosalia alpina	Rosalia alpina
SPECIES	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Stenobothrus	Stenobothrus eurasius	Stenobothrus (Stenobothrodes) eurasius	Stenobothrus eurasius
SPECIES	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Stenobothrus	Stenobothrus eurasius	Stenobothrus eurasius	Stenobothrus eurasius
SPECIES	Animalia	Arthropoda	Insecta	Odonata	Gomphidae	Stylurus	Stylurus flavipes	Stylurus flavipes	Stylurus flavipes
SPECIES	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Unio	Unio pictorum	Unio pictorum	Unio pictorum
SPECIES	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Unio	Unio crassus	Unio crassus	Unio crassus
SPECIES	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Unio	Unio elongatulus	Unio elongatulus	Unio elongatulus
SPECIES	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Unio	Unio bruguierianus	Unio bruguierianus	Unio crassus
SPECIES	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Unio	Unio desectus	Unio desectus	Unio crassus
SPECIES	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Unio	Unio ionicus	Unio ionicus	Unio crassus
SPECIES	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Unio	Unio vicarius	Unio vicarius	Unio crassus
SPECIES	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Vertigo	Vertigo angustior	Vertigo angustior	Vertigo angustior
SPECIES	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Vertigo	Vertigo moulinsiana	Vertigo moulinsiana	Vertigo moulinsiana
SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Zerynthia	Zerynthia polyxena	Zerynthia polyxena	Zerynthia polyxena
